"","infinitive","forms"
"1","abandonar","abandono;abandonas;abandona;abandonamos;abandonáis;abandonan;abandonando;abandonado;abandonaré;abandonarás;abandonará;abandonaremos;abandonaréis;abandonarán;abandonaba;abandonabas;abandonábamos;abandonabais;abandonaban;abandoné;abandonaste;abandonó;abandonasteis;abandonaron;abandonaría;abandonarías;abandonaríamos;abandonaríais;abandonarían;abandone;abandones;abandonemos;abandonéis;abandonen;abandonara;abandonaras;abandonáramos;abandonarais;abandonaran;abandonare;abandonares;abandonáremos;abandonareis;abandonaren;;abandonad"
"2","abordar","abordo;abordas;aborda;abordamos;abordáis;abordan;abordando;abordado;abordaré;abordarás;abordará;abordaremos;abordaréis;abordarán;abordaba;abordabas;abordábamos;abordabais;abordaban;abordé;abordaste;abordó;abordasteis;abordaron;abordaría;abordarías;abordaríamos;abordaríais;abordarían;aborde;abordes;abordemos;abordéis;aborden;abordara;abordaras;abordáramos;abordarais;abordaran;abordare;abordares;abordáremos;abordareis;abordaren;;abordad"
"3","abortar","aborto;abortas;aborta;abortamos;abortáis;abortan;abortando;abortado;abortaré;abortarás;abortará;abortaremos;abortaréis;abortarán;abortaba;abortabas;abortábamos;abortabais;abortaban;aborté;abortaste;abortó;abortasteis;abortaron;abortaría;abortarías;abortaríamos;abortaríais;abortarían;aborte;abortes;abortemos;abortéis;aborten;abortara;abortaras;abortáramos;abortarais;abortaran;abortare;abortares;abortáremos;abortareis;abortaren;;abortad"
"4","abrazar","abrazo;abrazas;abraza;abrazamos;abrazáis;abrazan;abrazando;abrazado;abrazaré;abrazarás;abrazará;abrazaremos;abrazaréis;abrazarán;abrazaba;abrazabas;abrazábamos;abrazabais;abrazaban;abracé;abrazaste;abrazó;abrazasteis;abrazaron;abrazaría;abrazarías;abrazaríamos;abrazaríais;abrazarían;abrace;abraces;abracemos;abracéis;abracen;abrazara;abrazaras;abrazáramos;abrazarais;abrazaran;abrazare;abrazares;abrazáremos;abrazareis;abrazaren;;abrazad"
"5","abrir","abro;abres;abre;abrimos;abrís;abren;abriendo;abierto;abriré;abrirás;abrirá;abriremos;abriréis;abrirán;abría;abrías;abríamos;abríais;abrían;abrí;abriste;abrió;abristeis;abrieron;abriría;abrirías;abriríamos;abriríais;abrirían;abra;abras;abramos;abráis;abran;abriera;abrieras;abriéramos;abrierais;abrieran;abriere;abrieres;abriéremos;abriereis;abrieren;;abrid"
"6","aburrir","aburro;aburres;aburre;aburrimos;aburrís;aburren;aburriendo;aburrido;aburriré;aburrirás;aburrirá;aburriremos;aburriréis;aburrirán;aburría;aburrías;aburríamos;aburríais;aburrían;aburrí;aburriste;aburrió;aburristeis;aburrieron;aburriría;aburrirías;aburriríamos;aburriríais;aburrirían;aburra;aburras;aburramos;aburráis;aburran;aburriera;aburrieras;aburriéramos;aburrierais;aburrieran;aburriere;aburrieres;aburriéremos;aburriereis;aburrieren;;aburrid"
"7","aburrirse",";abúrrete;aburríos;abúrrase;abúrranse;aburriéndose;aburrido"
"8","abusar","abuso;abusas;abusa;abusamos;abusáis;abusan;abusando;abusado;abusaré;abusarás;abusará;abusaremos;abusaréis;abusarán;abusaba;abusabas;abusábamos;abusabais;abusaban;abusé;abusaste;abusó;abusasteis;abusaron;abusaría;abusarías;abusaríamos;abusaríais;abusarían;abuse;abuses;abusemos;abuséis;abusen;abusara;abusaras;abusáramos;abusarais;abusaran;abusare;abusares;abusáremos;abusareis;abusaren;;abusad"
"9","acabar","acabo;acabas;acaba;acabamos;acabáis;acaban;acabando;acabado;acabaré;acabarás;acabará;acabaremos;acabaréis;acabarán;acababa;acababas;acabábamos;acababais;acababan;acabé;acabaste;acabó;acabasteis;acabaron;acabaría;acabarías;acabaríamos;acabaríais;acabarían;acabe;acabes;acabemos;acabéis;acaben;acabara;acabaras;acabáramos;acabarais;acabaran;acabare;acabares;acabáremos;acabareis;acabaren;;acabad"
"10","acampar","acampo;acampas;acampa;acampamos;acampáis;acampan;acampando;acampado;acamparé;acamparás;acampará;acamparemos;acamparéis;acamparán;acampaba;acampabas;acampábamos;acampabais;acampaban;acampé;acampaste;acampó;acampasteis;acamparon;acamparía;acamparías;acamparíamos;acamparíais;acamparían;acampe;acampes;acampemos;acampéis;acampen;acampara;acamparas;acampáramos;acamparais;acamparan;acampare;acampares;acampáremos;acampareis;acamparen;;acampad"
